pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
2016,1,1,5,0,2,4,21.00,2037,52.00,0.80,5.54,11.65,69.99,1
2016,1,1,5,0,2,1,16.29,1520,45.00,1.30,0.00,8.00,54.30,1
2016,1,1,5,0,2,6,12.70,1462,36.50,1.30,0.00,0.00,37.80,2
2016,1,1,5,0,2,6,8.70,1210,26.00,1.30,0.00,5.46,32.76,1
2016,1,1,5,0,2,6,5.56,759,17.50,1.30,0.00,0.00,18.80,2
2016,1,1,5,0,4,2,21.45,2004,52.00,0.80,0.00,52.80,105.60,1
2016,1,1,5,0,2,6,8.45,927,24.50,1.30,0.00,6.45,32.25,1
2016,1,1,5,0,2,6,7.30,731,21.50,1.30,0.00,0.00,22.80,2
2016,1,1,5,0,2,5,36.30,2562,109.50,0.80,11.08,10.00,131.38,1
2016,1,1,5,0,6,2,12.46,1351,36.00,1.30,0.00,0.00,37.30,2
2016,1,1,5,1,4,2,16.60,1467,52.00,0.80,5.54,0.00,58.34,2
